Team Name,blomgram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,Beevia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported By,Victor Peynado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,10/Aug/2026 09:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter,Sprints Contains 0702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Id,Item Name,Description,Created On,Sprint,Created by,Tags,Completed On,Assignee,Status,Epic,Item Type,Priority,Start Date,End Date,Start After,Duration,Estimation Points,Release,Total Workhours,Work hours per owner,Work hours type,Parent Id,Sprint Type,Sprint Start Date,Sprint End Date,Comments,Created Time,Last Modified,Blocked by,Blocked On
BVA-I72,Invite Link Generation & Invite Tracking,"Build the endpoint that generates an invitelink for a given contact and records that an invite was sent (so the app knowsto show ""Invited"" afterward). Should route an opened invite link intothe signup flow correctly, whether or not the invited person already has theapp installed.",15/Jul/2026 11:38 AM,0702,Fortune Okwu,,,Ayomikun Araoye,REVIEW/QA,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,21/Jul/2026,07/Aug/2026,,15/Jul/2026 11:38 AM,07/Aug/2026,,
BVA-I38,Send and Receive Messages in Real Time,"Asa user, I want to send and receive messages instantly in a conversation, sothat I can have real-time conversations with the people I chat with. This is thefoundation everything else in the chat engine sits on top of calling, translation,and file sharing are all extensions of a conversation that has to already workreliably in real time.Acceptance Criteria● A message sent by one user appears in theother person's conversation, without either person needingto refresh or reopen the app● Message delivery status is accurate andupdates correctly (sent ➡ delivered ➡ read), matching the states alreadydesigned for the Chat screen● Reopening a conversation shows the fullmessage history in the correct order● Messaging remains reliable on typical mobiledata, not just Wi-Fi",09/Jul/2026 08:36 PM,0702,Fortune Okwu,,,Unassigned,REVIEW/QA,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,21/Jul/2026,07/Aug/2026,,09/Jul/2026 08:36 PM,07/Aug/2026,,
BVA-I47,Real-Time Message Delivery & Storage,"Build the backend service that deliversmessages between users in real time, stores message history, and tracks eachmessage's status as it moves from sent to delivered to read.",14/Jul/2026 09:11 AM,0702,Fortune Okwu,,,Ayomikun Araoye,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I38,Start,21/Jul/2026,07/Aug/2026,,14/Jul/2026 09:11 AM,03/Aug/2026,,
BVA-I48,Chat Thread UI & Message Display,"Build the conversation screen that displays sentand received messages in order, includes the message input bar, and reflectseach message's delivery/read status as it updates in real time",14/Jul/2026 09:12 AM,0702,Fortune Okwu,,,David Samuel,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I38,Start,21/Jul/2026,07/Aug/2026,,14/Jul/2026 09:12 AM,03/Aug/2026,,
BVA-I39,Live Typing Preview,"Asa user, I want to see what the other person is typing as they type it, so thatour conversation feels immediate and natural, rather than waiting on a generic""typing…"" indicator.This is adeliberate differentiator from standard chat apps, it's meant to make conversationson Beevia feel more like being on a call together than exchanging texts.Acceptance Criteria● While the other person is composing a message,I see their text appear and update live in the conversation, in real time, asthey type● If they edit or delete what they've typedbefore sending, my view updates to match● If they stop typing or close the app withoutsending, the live preview clears● The experience feels responsive, withoutnoticeable lag between their keystrokes and what I see",09/Jul/2026 08:42 PM,0702,Fortune Okwu,,,Unassigned,REVIEW/QA,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,21/Jul/2026,07/Aug/2026,,09/Jul/2026 08:42 PM,07/Aug/2026,,
BVA-I49,Real-Time Draft Text Streaming,"Build the real-time channel that streams auser's in-progress draft text to the other participant as they type, updatinglive and clearing appropriately when they stop typing or send the message.",14/Jul/2026 09:13 AM,0702,Fortune Okwu,,,Ayomikun Araoye,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I39,Start,21/Jul/2026,07/Aug/2026,,14/Jul/2026 09:13 AM,06/Aug/2026,,
BVA-I50,Live Typing Display in Chat Thread,"Render the other participant's live draft textwithin the conversation thread as it streams in, updating in real time andclearing it once they stop typing or send.",14/Jul/2026 09:13 AM,0702,Fortune Okwu,,,David Samuel,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I39,Start,21/Jul/2026,07/Aug/2026,,14/Jul/2026 09:13 AM,06/Aug/2026,,
BVA-I40,Audio Calling,"Asa user, I want to make and receive voice calls with someone I'm chatting with,so that I can talk to them directly without leaving the app.Acceptance Criteria● A user can start a voice call with any contactfrom within their conversation with that person● The other person gets a clear incoming-callnotification and can accept or decline● Call quality holds up on typical mobile data,not just Wi-Fi● Either person can end the call from their sideat any time● A record of the call (missed or answered, andduration) shows up in the conversation history afterward",09/Jul/2026 08:47 PM,0702,Fortune Okwu,,,Unassigned,REVIEW/QA,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,21/Jul/2026,07/Aug/2026,,09/Jul/2026 08:47 PM,07/Aug/2026,,
BVA-I51,Audio Call Infrastructure & Signaling,"Set up the backend calling infrastructure, includingcall signaling, session management, and logging call records (missed, answered,duration) to the conversation history. LiveKit to be used as the supporting provider",14/Jul/2026 09:14 AM,0702,Fortune Okwu,,,Ayomikun Araoye,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I40,Start,21/Jul/2026,07/Aug/2026,,14/Jul/2026 09:14 AM,05/Aug/2026,,
BVA-I52,Audio Call UI,"Build the audio call experience, including theoutgoing call screen, the incoming call/ringing screen with accept and declineactions, in-call controls, and ending the call.",14/Jul/2026 09:15 AM,0702,Fortune Okwu,,,David Samuel,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I40,Start,21/Jul/2026,07/Aug/2026,,14/Jul/2026 09:15 AM,05/Aug/2026,,
