Team Name,blomgram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,Beevia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported By,Victor Peynado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,17/Aug/2026 09:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter,Sprints Contains 08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Id,Item Name,Description,Created On,Sprint,Created by,Tags,Completed On,Assignee,Status,Epic,Item Type,Priority,Start Date,End Date,Start After,Duration,Estimation Points,Release,Total Workhours,Work hours per owner,Work hours type,Parent Id,Sprint Type,Sprint Start Date,Sprint End Date,Comments,Created Time,Last Modified,Blocked by,Blocked On
BVA-I158,Logo Design & Brand Asset Set,"Asthe product team, we want a finalized Beevia logo and brand asset set, so thatthe app, marketing site, and all touchpoints use a consistent, professionalidentity instead of the current placeholderWhy This MattersBrandidentity is currently just a styled Space Mono wordmark with a generic lockicon reused across onboarding, admin emails, and the app itself Acceptance Criteria● Primary logomark: icon + wordmark lockup● Icon-only mark, legible at small sizes (appicon, favicon)● Wordmark only version for contexts the icondoesn't fit● Light-background and dark-background variants● Export formats: SVG (vector), PNG (requirediOS/Android app icon sizes), PDF (print use)● A short usage note: color values, minimumclear space, minimum size",11/Aug/2026 08:37 AM,08-01,Fortune Okwu,,,Philip Chidera,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 08:37 AM,11/Aug/2026,,
BVA-I161,Dark Mode Design - Onboarding & Banking Screens,"Asa user, I want the onboarding and banking screens to also support dark mode,consistent with the rest of the app.Acceptance Criteria● Dark variants of key onboarding screens andthe banking screens (wallet, add money, send money) being produced thissprint",11/Aug/2026 10:11 AM,08-01,Fortune Okwu,,,Philip Chidera,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 10:11 AM,11/Aug/2026,,
BVA-I159,Dark Mode Design - Core Navigation & Home Screens,"Asa user, I want the option to use the appin a dark theme, so it's easier on the eyes in low light and matchessystem-level preferences.Acceptance Criteria● Dark variants of: Home screen (conversationlist), Chat screen (thread), Settings/Appearance screen itself, and the bottomnav bar across all tabs",11/Aug/2026 10:06 AM,08-01,Fortune Okwu,,,Philip Chidera,In progress,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 10:06 AM,17/Aug/2026,,
BVA-I160,Core Screens Dark Mode,Design dark-mode variants of the highest-trafficscreens,11/Aug/2026 10:09 AM,08-01,Fortune Okwu,,,Philip Chidera,In progress,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I159,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 10:09 AM,17/Aug/2026,,
BVA-I162,Translation Service Integration,"Asthe backend, integrate a third-party translation provider and apply it to realmessages in active conversationsAcceptance Criteria● Integrate a translation provider supportingEnglish, French, Portuguese, and Mandarin (the confirmed 4 languages)● Apply translation live to real messages withinconversations where translation is active (app-wide default or per-conversationoverride), ● Unit/integration tests against sample text,plus real end-to-end testing",11/Aug/2026 10:28 AM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 10:28 AM,11/Aug/2026,,
BVA-I163,Translation Provider Integration,Integrate a translation API and build theservice layer for translating message text on demand.,11/Aug/2026 10:43 AM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I162,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 10:43 AM,11/Aug/2026,,
BVA-I164,Language Preference Storage (App-Wide & Per-Conversation),"Asthe backend, build the data model and endpoints for storing a user's app-widetranslation language preference and per-conversation overrides, so mobile canwire up the settings UI.Acceptance Criteria● Endpoints to get/set the app-wide languagepreference, defaulting from device locale if supported, else English● Endpoint to get/set a per conversationoverride● Correct precedence: override beats app-widedefault; changing the default does not reset existing overrides",11/Aug/2026 10:50 AM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 10:50 AM,11/Aug/2026,,
BVA-I165,Preference Storage & Precedence Logic,Build the endpoints and precedence rules fortranslation language preferences.,11/Aug/2026 10:50 AM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I164,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 10:50 AM,11/Aug/2026,,
BVA-I166,Translate-Message Endpoint ,"Asthe backend, expose a documented endpoint that returns translated text for amessage.Acceptance Criteria● A documented endpoint that returns translatedtext for given message content and target language",11/Aug/2026 12:41 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:41 PM,11/Aug/2026,,
BVA-I167,Translate Endpoint,​Build and document the translate endpoint.,11/Aug/2026 12:42 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I166,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:42 PM,11/Aug/2026,,
